method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error,target_penalty,dcdi_hidden_dim,dcdi_mu_init,dcdi_max_iterations
mip_profiled,3,2,0.64,0.2,0.1142857142857143,33,28,56.121792659163475,0.0036575379781425,0.0,ok,,,,,
gnies,3,2,10.0,0.4722222222222222,0.7428571428571429,30,39,301.7638821862638,0.1194588080979883,,ok,,,,,
gnies,3,2,20.0,0.3235294117647059,0.9142857142857144,16,40,212.251044949051,0.0759947239421308,,ok,,,,,
gnies,3,2,30.0,0.3235294117647059,0.9142857142857144,16,40,208.3378416239284,0.0763579527847468,,ok,,,,,
gnies,3,2,40.0,0.3333333333333333,0.8857142857142857,17,40,199.5843893573619,0.0749146458692848,,ok,,,,,
gnies,3,2,60.0,0.3125,0.8857142857142857,16,40,183.23751402972263,0.0725255678407847,,ok,,,,,
gnies,3,2,80.0,0.3214285714285714,0.7714285714285715,19,40,150.09203882934526,0.0328415390104055,,ok,,,,,
gnies,3,2,120.0,0.5,0.4857142857142857,26,40,106.54000686993822,0.0296930214390158,,ok,,,,,
gnies,3,2,160.0,0.5333333333333333,0.4,28,40,88.62822928838432,0.014285712968558,,ok,,,,,
gnies,3,2,240.0,0.75,0.1999999999999999,36,40,57.67766784084961,0.0047662011347711,,ok,,,,,
gnies,3,2,320.0,1.0,0.0857142857142857,36,40,34.484827369917184,0.0036823358386754,,ok,,,,,
mip_profiled,1,3,0.001,0.5555555555555556,0.4285714285714286,9,1,0.3881842992268502,0.0008372790180146,0.0,ok,,,,,
mip_profiled,1,3,0.0025,0.5555555555555556,0.4285714285714286,9,1,0.3192355893552303,0.0007732580415904,0.0,ok,,,,,
mip_profiled,1,3,0.005,0.5555555555555556,0.4285714285714286,9,1,0.3016147981397807,0.0007639750838279,0.0,ok,,,,,
mip_profiled,1,3,0.01,0.5555555555555556,0.4285714285714286,9,1,0.2969596041366458,0.0007661711424589,0.0,ok,,,,,
mip_profiled,1,3,0.02,0.1428571428571428,0.7142857142857143,3,1,0.2910999399609864,0.0007221018895506,0.0,ok,,,,,
mip_profiled,1,3,0.04,0.1428571428571428,0.7142857142857143,3,1,0.281878737732768,0.0007279999554157,0.0,ok,,,,,
mip_profiled,1,3,0.08,0.2,0.4285714285714286,5,1,0.2726883627474308,0.0007131448946893,0.0,ok,,,,,
mip_profiled,1,3,0.1,0.2,0.4285714285714286,5,1,0.2760296859778464,0.0007130443118512,0.0,ok,,,,,
mip_profiled,1,3,0.16,0.2,0.4285714285714286,5,2,0.2736088787205517,0.0007093013264238,0.0,ok,,,,,
mip_profiled,1,3,0.32,0.5,0.2857142857142857,7,2,0.2717251908034086,0.0007242108695209,0.0,ok,,,,,
gnies,1,3,0.005,0.902439024390244,0.4285714285714286,41,2,25.541861745063215,0.0012604971416294,,ok,,,,,
gnies,1,3,0.01,0.9,0.4285714285714286,40,2,25.796550810802728,0.0012831827625632,,ok,,,,,
gnies,1,3,0.03,0.8918918918918919,0.4285714285714286,37,2,23.42738389177248,0.0012059137225151,,ok,,,,,
gnies,1,3,0.1,0.8787878787878788,0.4285714285714286,33,2,20.912377483211458,0.0011931983754038,,ok,,,,,
gnies,1,3,0.3,0.8571428571428571,0.4285714285714286,28,2,13.04824909195304,0.0009298138320446,,ok,,,,,
gnies,1,3,1.0,0.8235294117647058,0.4285714285714286,19,6,3.660673432052135,0.000957656186074,,ok,,,,,
gnies,1,3,3.0,0.25,0.8571428571428572,3,8,1.107643947005272,0.0008075018413364,,ok,,,,,
gnies,1,3,6.0,0.25,0.8571428571428572,3,8,0.9053724543191491,0.0007640677504241,,ok,,,,,
gnies,1,3,10.0,0.1428571428571428,1.0,1,8,0.8633877937681973,0.0007729600183665,,ok,,,,,
gnies,1,3,30.0,0.4,0.5714285714285714,4,8,0.6138059878721833,0.0008369130082428,,ok,,,,,
mip_profiled,2,3,0.001,0.3333333333333333,0.9411764705882352,9,0,1.0642758780159056,0.0014097010716795,0.0,ok,,,,,
mip_profiled,2,3,0.0025,0.238095238095238,0.9411764705882352,6,0,1.0586339859291911,0.0013725333847105,0.0,ok,,,,,
mip_profiled,2,3,0.005,0.1578947368421052,0.9411764705882352,4,0,1.0588713153265417,0.0015450408682227,0.0,ok,,,,,
mip_profiled,2,3,0.01,0.1578947368421052,0.9411764705882352,4,0,1.0358902192674575,0.001350833568722,0.0,ok,,,,,
mip_profiled,2,3,0.02,0.1176470588235294,0.8823529411764706,4,0,1.0229296144098043,0.0012999959290027,0.0,ok,,,,,
mip_profiled,2,3,0.04,0.1176470588235294,0.8823529411764706,4,0,1.0115226418711245,0.0013272296637296,0.0,ok,,,,,
mip_profiled,2,3,0.08,0.1176470588235294,0.8823529411764706,4,1,0.9438248872756958,0.0012860498391091,2.7424759711482542e-05,ok,,,,,
mip_profiled,2,3,0.1,0.0588235294117647,0.9411764705882352,2,1,0.9427570248953998,0.0012748180888593,8.233446078054068e-05,ok,,,,,
mip_profiled,2,3,0.16,0.0769230769230769,0.7058823529411764,6,2,0.9404716677963734,0.0012872689403593,0.0,ok,,,,,
mip_profiled,2,3,0.32,0.1428571428571428,0.3529411764705882,12,7,0.9319310830906034,0.0011852751486003,0.0,ok,,,,,
mip_profiled,2,3,0.64,0.0,0.1764705882352941,14,13,0.9293065927922726,0.0010928916744887,0.0,ok,,,,,
gnies,2,3,3.0,0.6538461538461539,0.5294117647058824,28,15,33.32394946785644,0.0016819518059492,,ok,,,,,
gnies,2,3,5.0,0.3888888888888889,1.0,9,19,13.24062720593065,0.0036903670988976,,ok,,,,,
gnies,2,3,7.0,0.3529411764705882,1.0,7,19,11.785626593977211,0.0029623699374496,,ok,,,,,
gnies,2,3,10.0,0.3529411764705882,1.0,7,19,11.085813452024013,0.0027842037379741,,ok,,,,,
gnies,2,3,15.0,0.3529411764705882,1.0,7,19,10.426671497989446,0.0027732579037547,,ok,,,,,
gnies,2,3,20.0,0.3529411764705882,1.0,7,19,10.044456584844738,0.0027375719510018,,ok,,,,,
gnies,2,3,30.0,0.375,0.9411764705882352,8,19,8.07376843970269,0.0028973678126931,,ok,,,,,
gnies,2,3,50.0,0.4285714285714285,0.8235294117647058,10,19,7.425596090964973,0.0026304302737116,,ok,,,,,
gnies,2,3,75.0,0.75,0.4705882352941176,15,19,4.710212172940373,0.0026447521522641,,ok,,,,,
gnies,2,3,100.0,0.75,0.4705882352941176,15,19,4.706877341028303,0.002636884804815,,ok,,,,,
gnies,2,3,200.0,0.8,0.2941176470588235,17,19,3.3416259051300585,0.0015544663183391,,ok,,,,,
mip_profiled,3,3,0.001,0.5277777777777778,0.9428571428571428,40,5,1551.5344172348268,0.0046947011724114,8.108637334577213e-05,ok,,,,,
mip_profiled,3,3,0.0025,0.4677419354838709,0.9142857142857144,32,5,211.96033584978431,0.0046100243926048,2.6860958736388067e-05,ok,,,,,
mip_profiled,3,3,0.005,0.3653846153846153,0.9142857142857144,22,5,153.14476992795244,0.0045424411073327,5.4085573183704874e-05,ok,,,,,
mip_profiled,3,3,0.01,0.175,0.9142857142857144,10,3,77.6155034378171,0.004259037785232,0.0,ok,,,,,
mip_profiled,3,3,0.02,0.0,0.9714285714285714,1,3,50.97666320716962,0.0042583760805428,2.1115279994846347e-10,ok,,,,,
mip_profiled,3,3,0.04,0.0,0.9714285714285714,1,1,38.66998226009309,0.0041159410029649,0.0,ok,,,,,
mip_profiled,3,3,0.08,0.0294117647058823,0.9428571428571428,3,7,27.47071175603196,0.0040274141356348,1.25014344739319e-05,ok,,,,,
mip_profiled,3,3,0.1,0.0294117647058823,0.9428571428571428,3,9,27.385503066238016,0.0040391199290752,0.0,ok,,,,,
mip_profiled,3,3,0.16,0.0606060606060606,0.9142857142857144,5,11,27.18174107605591,0.0042891190387308,0.0,ok,,,,,
mip_profiled,3,3,0.32,0.1176470588235294,0.4285714285714286,22,17,27.05686655221507,0.0038000252097845,0.0,ok,,,,,
mip_profiled,3,3,0.64,0.3333333333333333,0.0571428571428571,35,30,26.91407752316445,0.0034343958832323,0.0,ok,,,,,
gnies,3,3,10.0,0.5128205128205128,0.7714285714285715,32,39,320.61109133809805,1.5712452488951385,,ok,,,,,
gnies,3,3,20.0,0.3235294117647059,0.9142857142857144,16,40,219.88674689410257,0.0783808343112468,,ok,,,,,
gnies,3,3,30.0,0.303030303030303,0.9142857142857144,15,40,205.9393749879673,0.0765949478372931,,ok,,,,,
gnies,3,3,40.0,0.3125,0.8857142857142857,16,40,191.1605081809685,0.0717157078906893,,ok,,,,,
gnies,3,3,60.0,0.3125,0.8857142857142857,16,40,180.26454831613228,0.0743421069346368,,ok,,,,,
gnies,3,3,80.0,0.3846153846153846,0.7142857142857143,22,40,139.3047644882463,0.0648800991475582,,ok,,,,,
